Instance,F,n,m,Best
I_2_4_2_1.txt,2,4,2,27
I_2_4_2_2.txt,2,4,2,44
I_2_4_2_3.txt,2,4,2,133
I_2_4_2_4.txt,2,4,2,57
I_2_4_2_5.txt,2,4,2,128
I_2_4_3_1.txt,2,4,3,6
I_2_4_3_2.txt,2,4,3,133
I_2_4_3_3.txt,2,4,3,113
I_2_4_3_4.txt,2,4,3,86
I_2_4_3_5.txt,2,4,3,30
I_2_4_4_1.txt,2,4,4,118
I_2_4_4_2.txt,2,4,4,49
I_2_4_4_3.txt,2,4,4,92
I_2_4_4_4.txt,2,4,4,58
I_2_4_4_5.txt,2,4,4,76
I_2_4_5_1.txt,2,4,5,60
I_2_4_5_2.txt,2,4,5,62
I_2_4_5_3.txt,2,4,5,52
I_2_4_5_4.txt,2,4,5,104
I_2_4_5_5.txt,2,4,5,22
I_2_6_2_1.txt,2,6,2,164
I_2_6_2_2.txt,2,6,2,151
I_2_6_2_3.txt,2,6,2,224
I_2_6_2_4.txt,2,6,2,97
I_2_6_2_5.txt,2,6,2,414
I_2_6_3_1.txt,2,6,3,146
I_2_6_3_2.txt,2,6,3,286
I_2_6_3_3.txt,2,6,3,251
I_2_6_3_4.txt,2,6,3,167
I_2_6_3_5.txt,2,6,3,109
I_2_6_4_1.txt,2,6,4,306
I_2_6_4_2.txt,2,6,4,225
I_2_6_4_3.txt,2,6,4,212
I_2_6_4_4.txt,2,6,4,350
I_2_6_4_5.txt,2,6,4,276
I_2_6_5_1.txt,2,6,5,191
I_2_6_5_2.txt,2,6,5,219
I_2_6_5_3.txt,2,6,5,315
I_2_6_5_4.txt,2,6,5,323
I_2_6_5_5.txt,2,6,5,104
I_2_8_2_1.txt,2,8,2,297
I_2_8_2_2.txt,2,8,2,274
I_2_8_2_3.txt,2,8,2,383
I_2_8_2_4.txt,2,8,2,649
I_2_8_2_5.txt,2,8,2,418
I_2_8_3_1.txt,2,8,3,760
I_2_8_3_2.txt,2,8,3,346
I_2_8_3_3.txt,2,8,3,410
I_2_8_3_4.txt,2,8,3,510
I_2_8_3_5.txt,2,8,3,461
I_2_8_4_1.txt,2,8,4,512
I_2_8_4_2.txt,2,8,4,373
I_2_8_4_3.txt,2,8,4,466
I_2_8_4_4.txt,2,8,4,432
I_2_8_4_5.txt,2,8,4,458
I_2_8_5_1.txt,2,8,5,523
I_2_8_5_2.txt,2,8,5,484
I_2_8_5_3.txt,2,8,5,604
I_2_8_5_4.txt,2,8,5,354
I_2_8_5_5.txt,2,8,5,559
I_2_10_2_1.txt,2,10,2,1053
I_2_10_2_2.txt,2,10,2,687
I_2_10_2_3.txt,2,10,2,1010
I_2_10_2_4.txt,2,10,2,573
I_2_10_2_5.txt,2,10,2,628
I_2_10_3_1.txt,2,10,3,903
I_2_10_3_2.txt,2,10,3,633
I_2_10_3_3.txt,2,10,3,955
I_2_10_3_4.txt,2,10,3,767
I_2_10_3_5.txt,2,10,3,748
I_2_10_4_1.txt,2,10,4,808
I_2_10_4_2.txt,2,10,4,1058
I_2_10_4_3.txt,2,10,4,750
I_2_10_4_4.txt,2,10,4,965
I_2_10_4_5.txt,2,10,4,914
I_2_10_5_1.txt,2,10,5,770
I_2_10_5_2.txt,2,10,5,735
I_2_10_5_3.txt,2,10,5,1137
I_2_10_5_4.txt,2,10,5,895
I_2_10_5_5.txt,2,10,5,1041
I_2_12_2_1.txt,2,12,2,1136
I_2_12_2_2.txt,2,12,2,898
I_2_12_2_3.txt,2,12,2,829
I_2_12_2_4.txt,2,12,2,1278
I_2_12_2_5.txt,2,12,2,1106
I_2_12_3_1.txt,2,12,3,1443
I_2_12_3_2.txt,2,12,3,1141
I_2_12_3_3.txt,2,12,3,873
I_2_12_3_4.txt,2,12,3,1236
I_2_12_3_5.txt,2,12,3,1182
I_2_12_4_1.txt,2,12,4,981
I_2_12_4_2.txt,2,12,4,1301
I_2_12_4_3.txt,2,12,4,1223
I_2_12_4_4.txt,2,12,4,1249
I_2_12_4_5.txt,2,12,4,1142
I_2_12_5_1.txt,2,12,5,1287
I_2_12_5_2.txt,2,12,5,1012
I_2_12_5_3.txt,2,12,5,1099
I_2_12_5_4.txt,2,12,5,1248
I_2_12_5_5.txt,2,12,5,1454
I_2_14_2_1.txt,2,14,2,1918
I_2_14_2_2.txt,2,14,2,1464
I_2_14_2_3.txt,2,14,2,1482
I_2_14_2_4.txt,2,14,2,1618
I_2_14_2_5.txt,2,14,2,1259
I_2_14_3_1.txt,2,14,3,1862
I_2_14_3_2.txt,2,14,3,1632
I_2_14_3_3.txt,2,14,3,1706
I_2_14_3_4.txt,2,14,3,1481
I_2_14_3_5.txt,2,14,3,1744
I_2_14_4_1.txt,2,14,4,1432
I_2_14_4_2.txt,2,14,4,1994
I_2_14_4_3.txt,2,14,4,2305
I_2_14_4_4.txt,2,14,4,2020
I_2_14_4_5.txt,2,14,4,1749
I_2_14_5_1.txt,2,14,5,1704
I_2_14_5_2.txt,2,14,5,1946
I_2_14_5_3.txt,2,14,5,1789
I_2_14_5_4.txt,2,14,5,1443
I_2_14_5_5.txt,2,14,5,1599
I_2_16_2_1.txt,2,16,2,2450
I_2_16_2_2.txt,2,16,2,1689
I_2_16_2_3.txt,2,16,2,2143
I_2_16_2_4.txt,2,16,2,1915
I_2_16_2_5.txt,2,16,2,1741
I_2_16_3_1.txt,2,16,3,2242
I_2_16_3_2.txt,2,16,3,2252
I_2_16_3_3.txt,2,16,3,2331
I_2_16_3_4.txt,2,16,3,2067
I_2_16_3_5.txt,2,16,3,2009
I_2_16_4_1.txt,2,16,4,2300
I_2_16_4_2.txt,2,16,4,2434
I_2_16_4_3.txt,2,16,4,2239
I_2_16_4_4.txt,2,16,4,2779
I_2_16_4_5.txt,2,16,4,2786
I_2_16_5_1.txt,2,16,5,2285
I_2_16_5_2.txt,2,16,5,2638
I_2_16_5_3.txt,2,16,5,2514
I_2_16_5_4.txt,2,16,5,2249
I_2_16_5_5.txt,2,16,5,2680
I_3_4_2_1.txt,3,4,2,2
I_3_4_2_2.txt,3,4,2,37
I_3_4_2_3.txt,3,4,2,40
I_3_4_2_4.txt,3,4,2,39
I_3_4_2_5.txt,3,4,2,34
I_3_4_3_1.txt,3,4,3,6
I_3_4_3_2.txt,3,4,3,14
I_3_4_3_3.txt,3,4,3,11
I_3_4_3_4.txt,3,4,3,37
I_3_4_3_5.txt,3,4,3,8
I_3_4_4_1.txt,3,4,4,47
I_3_4_4_2.txt,3,4,4,9
I_3_4_4_3.txt,3,4,4,2
I_3_4_4_4.txt,3,4,4,18
I_3_4_4_5.txt,3,4,4,2
I_3_4_5_1.txt,3,4,5,11
I_3_4_5_2.txt,3,4,5,16
I_3_4_5_3.txt,3,4,5,2
I_3_4_5_4.txt,3,4,5,3
I_3_4_5_5.txt,3,4,5,6
I_3_6_2_1.txt,3,6,2,82
I_3_6_2_2.txt,3,6,2,34
I_3_6_2_3.txt,3,6,2,120
I_3_6_2_4.txt,3,6,2,29
I_3_6_2_5.txt,3,6,2,143
I_3_6_3_1.txt,3,6,3,68
I_3_6_3_2.txt,3,6,3,82
I_3_6_3_3.txt,3,6,3,63
I_3_6_3_4.txt,3,6,3,115
I_3_6_3_5.txt,3,6,3,146
